review_count,business_id,name,city,state,latitude,longitude,stars ,category
3,780DK6Kc18LzawT5jSDAnA,"Peter Smilovits, DDS",Beachwood,OH,41.46390152,-81.50658417,5, 'Dentists'
12,Gmh0Nd-c4GabgWe5q-ZACA,"Donald J Gass Jr, DDS",Chandler,AZ,33.30706024,-111.8581543,4, 'Dentists'
7,IM_8ZQ1uxXXr_ASII9k3g,Dentistry Of The Carolinas,Charlotte,NC,35.15025711,-80.84054565,4, 'Dentists'
4,3Wi_F3UNEJ-jUpGkc3GFIQ,Northeast Pediatric Dentistry,Davidson,NC,35.44299698,-80.76352692,1, 'Pediatric Dentists'
7,Et-pCW7TcKa1_8au4L-_CQ,Summit Dentistry,Fairlawn,OH,41.13629913,-81.61962128,3.5, 'Dentists'
4,7xR-w1f7kUhvZ_Tf901Maw,Associated Dental Glendale W Bell,Glendale,AZ,33.63976288,-112.2129745,5, 'Cosmetic Dentists'
8,3o3E4VlhmnIEjGDws5zsYA,Pecos Dental,Henderson,NV,36.03187561,-115.0997467,5, 'Dentists'
3,Dk4OSK10FgL-KwqRY0JpoQ,Bitounis Constantine DDS,Lakewood,OH,41.48596954,-81.82358551,4.5, 'Dentists'
14,79gMOwXNWRelPayAWWO5AA,Spanish Hills Dental,Las Vegas,NV,36.10060883,-115.2863541,4.5, 'Dentists'
5,2w6fwQtWd0SqmwklrYJKQg,"J Ladd Williams, DDS",Mesa,AZ,33.43851089,-111.7368317,5, 'Cosmetic Dentists'
11,4y30lPblB1eQVQyEY9SRUw,Fletcher Heights Dental Care,Peoria,AZ,33.67221451,-112.2375488,3.5, 'Cosmetic Dentists'
9,6h5neY7RChgvuRDerDxIZw,"Goldenstein Marvin D, DDS",Phoenix,AZ,33.63777542,-111.9965286,3, 'Dentists'
3,Fvwpj5He6HS0FTUDuQAAWA,"Gurtner Stephen M, DMD",Pittsburgh,PA,40.38432312,-80.05271149,5, 'Pediatric Dentists'
6,-4dzsToZl39O95C5KWbJbg,Kind Family Dentistry,Scottsdale,AZ,33.58312225,-111.9293289,3.5, 'Cosmetic Dentists'
