rb1.business_id,city,rb1.review_count,rb1.name,rb1.address,rb1.categories,rb1.state,rb1.postal_code,rb1.latitude,rb1.longitude,rb1.overall_review,rb1.stars
-4dzsToZl39O95C5KWbJbg,Scottsdale,6,Kind Family Dentistry,"7000 E Shea Blvd, Ste 1510","[""['General Dentistry'"","" 'Cosmetic Dentists'"","" 'Dentists'"","" 'Teeth Whitening'"","" 'Beauty & Spas'"","" 'Orthodontists'"","" 'Health & Medical']""]",AZ,85254,33.58312225,-111.9293289,P,3.5
001jVKJHdhU2z_m9xTgOrg,Phoenix,5,Agave Chiropractic,"3040 N 44th St, Ste 3","[""['Health & Medical'"","" 'Chiropractors']""]",AZ,85018,33.48363495,-111.9870071,P,5
0BQu4dB58xFFGhdvDdcbwQ,Chandler,5,Chandler Family Health Center,811 S Hamilton St,"[""['Medical Centers'"","" 'Doctors'"","" 'Health & Medical']""]",AZ,85225,33.29376984,-111.832901,P,3
0Dxyk_zII2AZYmev7P-D2g,Toronto,4,Therapy One,5 Hendon Avenue,"[""['Massage'"","" 'Beauty & Spas'"","" 'Health & Medical'"","" 'Chiropractors'"","" 'Physical Therapy']""]",ON,M2M 4G8,43.78151703,-79.41643524,P,5
0Fs4Z2nKGzZAEM1bDlDoiQ,Scottsdale,6,Vemma Nutrition,8322 E Hartford Dr,"[""['Health & Medical']""]",AZ,85255,33.64378738,-111.899147,P,1.5
0IPTFesIRB3VQs3cRz_SnA,Phoenix,5,Tatum Nutrition & Wellness,13835 N Tatum Blvd,"[""['Nutritionists'"","" 'Weight Loss Centers'"","" 'Shopping'"","" 'Health & Medical'"","" 'Vitamins & Supplements']""]",AZ,85032,33.61299133,-111.9763794,P,4
0LVDdXvdnqP5gz0B9Hu8YA,Phoenix,9,Arizona Laser & Skin,"15835 S 46th St, Ste 132","[""['Beauty & Spas'"","" 'Cosmetic Surgeons'"","" 'Health & Medical'"","" 'Laser Hair Removal'"","" 'Medical Spas'"","" 'Hair Removal'"","" 'Doctors']""]",AZ,85048,33.3026886,-111.9841919,P,3.5
0OBVjSwSqYLDu7wwuVWS9Q,Glendale,3,The Orthopedic Clinic Association,"6320 W Union Hills Dr, Suite B-1800","[""['Orthopedists'"","" 'Health & Medical'"","" 'Doctors']""]",AZ,85308,33.65450668,-112.1975784,P,3
0S7nQp_2snOujdLGfkq8hQ,Medina,3,Mediterranean Fitness,"2736 Medina Rd, Ste 103","[""['Weight Loss Centers'"","" 'Active Life'"","" 'Sports Clubs'"","" 'Life Coach'"","" 'Professional Services'"","" 'Trainers'"","" 'Health & Medical'"","" 'Fitness & Instruction'"","" 'Gyms']""]",OH,44256,41.13518906,-81.78630066,P,3.5
0TUrORONATAbBVpyFvFUVQ,Charlotte,4,Family Healing Chiropractic Center,7245 Pineville Matthews Rd,"[""['Chiropractors'"","" 'Health & Medical']""]",NC,28226,35.08636856,-80.84035492,P,1.5
0frvcwSDPEqmf4mLjqWOFA,Chandler,6,Jones Family Dentistry Chandler,"4920 S Alma School Rd, Ste 1","[""['Health & Medical'"","" 'Dentists'"","" 'General Dentistry']""]",AZ,85248,33.23483276,-111.8598175,P,4.5
0r11qaBC1jEG8HuhD1Xtdg,Charlotte,3,Prosperity Chiropractic,"10210 Prosperity Park Dr, Ste 400","[""['Chiropractors'"","" 'Rehabilitation Center'"","" 'Health & Medical'"","" 'Massage Therapy']""]",NC,28269,35.36488724,-80.78604889,P,5
